Commission_Period,Commission_Amount,Agent_Name,Agent_ID,Company,Plan_Name,Source
2024-06-01,10.42,Anne  Martinez,43701056,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Anne M Duffy,19047746,"Stacey Monroe DBA Dawson, Burns and Kelly",Healthfirst Signature (HMO),Healthfirst
2024-06-01,10.42,Anne M Duffy,19047746,Delta Care Corporation,Healthfirst Signature (HMO),Healthfirst
2024-06-01,25.5,Lisa M Singh Norris,15105509,"Shelly Johnston DBA Mcgrath, Fernandez and Cohen",Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Lisa M Singh Norris,15105509,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Jamie  Myers,58408750,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Jamie  Myers,58408750,Cesar A White Sanders,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Jonathan Hernandez,40564715,Todd Scott,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Jonathan Hernandez,40564715,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Anthony Holloway Mills,47092103,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Anthony Holloway Mills,47092103,David T Lambert,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-01-01,-175.0,Christina B Martinez,54552661,Delta Care Corporation,Healthfirst Signature (HMO),Healthfirst
2024-01-01,-306.0,Christina B Martinez,54552661,Stephen Moore,Healthfirst Signature (HMO),Healthfirst
2024-06-01,25.5,Keith  Butler,23577077,Courtney Rivera,Healthfirst Signature (HMO),Healthfirst
2024-06-01,10.42,Keith  Butler,23577077,Delta Care Corporation,Healthfirst Signature (HMO),Healthfirst
2024-06-01,10.42,Keith  Murphy,69339717,Delta Care Corporation,Healthfirst Increased Benefits Plan (HMO),Healthfirst
2024-06-01,25.5,Keith  Murphy,69339717,Marvin Carpenter,Healthfirst Increased Benefits Plan (HMO),Healthfirst
2024-06-01,10.42,Keith  Mcdonald,69052127,Delta Care Corporation,Healthfirst Signature (HMO),Healthfirst
2024-06-01,25.5,Keith  Mcdonald,69052127,Dillon Reese Parker,Healthfirst Signature (HMO),Healthfirst
2024-06-01,25.5,Keith A Lee,37559764,James Gregory Martinez,Healthfirst Signature (HMO),Healthfirst
2024-06-01,10.42,Keith A Lee,37559764,Delta Care Corporation,Healthfirst Signature (HMO),Healthfirst
2024-06-01,10.42,Kathleen A Thomas,13525588,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Kathleen A Thomas,13525588,Stephen Moore,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Peter I Charles,29197823,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Peter I Charles,29197823,Javier Meyers,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Peter K Robles,20481789,"Shelly Johnston DBA Mcgrath, Fernandez and Cohen",Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Peter K Robles,20481789,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Michael F Lopez,33009995,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Michael F Lopez,33009995,Pamela Friedman,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Michael K Dixon,55859903,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Michael K Dixon,55859903,Pamela Friedman,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-02-01,175.0,Thomas Bailey,17940736,Samuel K Ochoa,,Healthfirst
2024-01-01,175.0,John  Schultz,53939484,Rebecca Crawford,,Healthfirst
2024-06-01,10.42,John I Bean,33304979,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,John I Bean,33304979,Patrick De La Evans,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,John L Clark Fields,77941325,Eric R Wilson,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,John L Clark Fields,77941325,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,John L Morris,66856148,Delta Care Corporation,Healthfirst Signature (HMO),Healthfirst
2024-06-01,25.5,John L Morris,66856148,Mary A Wright,Healthfirst Signature (HMO),Healthfirst
2024-06-01,10.42,John M Gonzalez,74722265,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,John M Gonzalez,74722265,Patrick De La Evans,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,David A Hernandez Barnes,47639467,Samuel K Ochoa,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,David A Hernandez Barnes,47639467,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Glenda  Martin,93814310,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Glenda  Martin,93814310,Brittany L Smith,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Glenda A Shields,44502206,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Glenda A Shields,44502206,Monica M Page Gilbert Ramirez May LLC,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-04-01,-102.08,Glenda Galloway Peterson,54070297,Delta Care Corporation,Healthfirst Signature (HMO),Healthfirst
2024-04-01,-356.42,Glenda Galloway Peterson,54070297,Chelsea Butler Good Leach Senior Services Corp,Healthfirst Signature (HMO),Healthfirst
2024-06-01,102.08,Glenda Galloway Peterson,54070297,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,356.42,Glenda Galloway Peterson,54070297,Chelsea Butler Good Leach Senior Services Corp,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Justin  Friedman,90896898,Colleen Michelle Butler,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Justin  Friedman,90896898,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Justin M Martinez,16262869,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Justin M Martinez,16262869,Elizabeth Roth,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Alicia D Martinez Peterson,13607752,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Alicia D Martinez Peterson,13607752,Anthony Reid,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Justin  Robertson,58010364,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,21.25,Justin  Robertson,58010364,Javier Meyers,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Nancy  Davis,53983800,Tracy g Perez DBA Miller PLC,Healthfirst Signature (HMO),Healthfirst
2024-06-01,10.42,Nancy  Davis,53983800,Delta Care Corporation,Healthfirst Signature (HMO),Healthfirst
2024-06-01,10.42,Rebecca  Scott,24285738,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Rebecca  Scott,24285738,Brittany L Smith,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Sean Kirk A,53988714,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Sean Kirk A,53988714,Jennifer Jackson,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Melinda H Contreras,99112876,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Melinda H Contreras,99112876,Javier Meyers,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Kristina  Johnson Mitchell,56678848,Samuel K Ochoa,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Kristina  Johnson Mitchell,56678848,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Kristina  Armstrong,87901330,"Alexis Freeman Anderson DBA Nguyen, Shelton and Odonnell",Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Kristina  Armstrong,87901330,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Kristina Hines,42604709,Delta Care Corporation,Healthfirst Signature (HMO),Healthfirst
2024-06-01,25.5,Kristina Hines,42604709,Stephanie D Wright,Healthfirst Signature (HMO),Healthfirst
2024-06-01,25.5,Kristina M Lewis DE Herrera,82535821,James Gregory Martinez,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Kristina M Lewis DE Herrera,82535821,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Kimberly  Roth,68001799,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Kimberly  Roth,68001799,Kevin V Parks,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Kimberly L Roth,82797589,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Kimberly L Roth,82797589,Javier Meyers,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,21.25,Kenneth M Finley,23092799,Jeremy Long,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Kenneth M Finley,23092799,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Lacey  Hall,11387143,Delta Care Corporation,Healthfirst Increased Benefits Plan (HMO),Healthfirst
2024-06-01,25.5,Lacey  Hall,11387143,Dillon Reese Parker,Healthfirst Increased Benefits Plan (HMO),Healthfirst
2024-06-01,10.42,Lacey  Mejia Turner,56296506,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Lacey  Mejia Turner,56296506,Kevin V Parks,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Lacey  Armstrong,31881985,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Lacey  Armstrong,31881985,Corey Martinez,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Alexander  Bowers,20808179,Delta Care Corporation,Healthfirst Signature (HMO),Healthfirst
2024-06-01,25.5,Alexander  Bowers,20808179,Patrick De La Evans,Healthfirst Signature (HMO),Healthfirst
2024-06-01,25.5,Jeffery Cordova K,53682474,Paul Hooper,Healthfirst Signature (HMO),Healthfirst
2024-06-01,10.42,Jeffery Cordova K,53682474,Delta Care Corporation,Healthfirst Signature (HMO),Healthfirst
2024-01-01,175.0,Nicholas C Holt,23807792,David T Lambert,,Healthfirst
2024-04-01,-229.5,Michelle O Pugh,61589560,Samantha M Scott,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-04-01,-131.25,Michelle O Pugh,61589560,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,James J Martinez,99152161,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,James J Martinez,99152161,Austin Davis,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Eric  Richardson,18520212,Jeremy Long,Healthfirst Signature (HMO),Healthfirst
2024-06-01,10.42,Eric  Richardson,18520212,Delta Care Corporation,Healthfirst Signature (HMO),Healthfirst
2024-06-01,10.42,Erin C Berry,40705499,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Erin C Berry,40705499,Jonathan Rios,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Erin D Brandon Blair,42267038,Diana Foster,Healthfirst Signature (HMO),Healthfirst
2024-06-01,10.42,Erin D Brandon Blair,42267038,Delta Care Corporation,Healthfirst Signature (HMO),Healthfirst
2024-06-01,25.5,Luke  Singh,60296213,James Gregory Martinez,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Luke  Singh,60296213,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Derrick  Martinez,88420608,Delta Care Corporation,Healthfirst Signature (HMO),Healthfirst
2024-06-01,25.5,Derrick  Martinez,88420608,Brittany L Smith,Healthfirst Signature (HMO),Healthfirst
2024-06-01,25.5,Derrick A Harris,67558671,Daniel A Holland Parks,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Derrick A Harris,67558671,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Derrick Mcclure,41948597,David M Crawford,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Derrick Mcclure,41948597,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Derrick J Adams,84295963,Daniel A Holland Parks,Healthfirst Increased Benefits Plan (HMO),Healthfirst
2024-06-01,10.42,Derrick J Adams,84295963,Delta Care Corporation,Healthfirst Increased Benefits Plan (HMO),Healthfirst
2024-06-01,10.42,Jamie Davis,27097777,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Jamie Davis,27097777,Todd Martinez,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-02-01,175.0,Daniel  Roman,51787421,Courtney Rivera,,Healthfirst
2024-06-01,10.42,Brandon M Horn,11734762,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Brandon M Horn,11734762,Austin Davis,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,10.42,Rachel  Gibbs,21006799,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-06-01,25.5,Rachel  Gibbs,21006799,Chelsea Butler Good Leach Senior Services Corp,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
2024-01-01,175.0,Rachel D King,54465583,Andrew Hill,,Healthfirst
2024-06-01,10.42,Rachel Sanchez,14182819,Delta Care Corporation,Healthfirst Life Improvement Plan (HMO SNP),Healthfirst
